Buyer,Country,Invoices,USD,GTIP,Description,Email,Website,Phone
BOSCH REXROTH AG,ALMANYA,366,"$11,498,900",Profiller,ALM.PROFİL.ELOKSAL.MAT*ALM.PROFİL.ELOKSA/LLI.MAT | ALM.PROFİL.ELOKSAL.MAT*ALM.PROFİL.ELOKSALLI.MAT,"info@boschrexroth.de, info.brm@boschrexroth.de, info@boschrexroth-ind.com","https://www.boschrexroth.com/, https://www.boschrexroth.com/en/de/contact/","+49 (711) 51046-0, +49 9352 40 50 60, +49 (0)9352-18 0, 08091233987"
NAWASZH COMPANY FOR GENERAL TRADİNG LTD,IRAK,145,"$11,251,487",İçi boş profiller,ALÜMİNYUM PROFİL (BO-YALI) | ELOKSALLI ALÜMİNYUM PROFİL (BOYASIZ VE K/APLAMASIZ),info@nawllc.com,https://www.nawllc.com,"+9647702396969, +964770239"
ULAMEX ZBIGNIEW ZIENTEK,POLONYA,347,"$11,120,002",Profiller | İçi boş profiller,** ALÜMİNYUM PROFİL (BOYASIZ) 2023/D1-03/000  ** | ALÜMİNYUM ELOKSALLI -PROFİL | ALÜMİNYUM PRES PROFİ-L | ALÜMİNYUM PRES PROFİL | ALÜMİNYUM PROFİL (BO-YASIZ) | ALÜMİNYUM }PROFİL | SONLAMA TUTUCU KLEMP- - ORTA TUTUCU KLEMP | SONLAMA TU}TUCU KLEMP,"export@ulamex.com, ulamex@ulamex.com.pl","https://ulamex.com.pl/, https://ulamex.com/","44-7109109, 508 496 705"
"EASTERN METAL SUPPLY, INC.",BIRLEŞIK DEVLETLER,148,"$10,935,398",İçi boş profiller,ALÜMİNYUM PROFİL,jvirsik@easternmetal.com,https://www.easternmetal.com/,"(561) 533-6061, (850) 890-7382, (561) 588-4780, (800) 432-2204, (844) 740-1260"
METALLCENTER WEST GMBH.,ALMANYA,574,"$10,912,322",Profiller | İçi boş profiller,"ALUMINYUM PROFILLER -(BOYASIZ) | ALUMINYUM PROFİL PRE-S 5096 | ALUMİNYUM PROFİL | ALUMİNYUM }PROFİL | ALÜMİNYUM PROFİL ( 13619 ADET , 22724,80 METRE ),ALÜMİNYUM PROFİL | ALÜMİNYUM PROFİL ( 5123 ADET 1150 KG ),A/LÜMİNYUM PROFİL | ALÜMİNYUM PROFİL (3600 ADET , 1824 ),ALÜ/MİNYUM PROFİL | ALÜMİNYUM PROFİL (BO-YALI) (1.616 AD) | ALÜMİNYUM PROFİL (BO-YALI) [206.00 AD] | ALÜMİNYUM PROFİL (BOYALI)    (217,959 KG/-254 ADET-460 METRE) | ALÜMİNYUM PROFİL (BOYALI) (1.140 METRE -/ 240 ADET) | ALÜMİNYUM PROFİL (BOYALI) [1440.00 AD]/ | ALÜMİNYUM PROFİL (BOYALI) [5229.00 AD]/ | ALÜMİNYUM PROFİL (BOYALI)( 57,98 KG, 235/6 ADET) | ALÜMİNYUM PROFİL (BOYALI)(550 MT)(4718 A/D) | ALÜMİNYUM PROFİL (BOYALI)(7.527 AD)(3.90/0 MT) | ALÜMİNYUM PROFİL (BOYASIZ)  (165,12 KG) /[3278.00 AD] | ALÜMİNYUM PROFİL (BOYASIZ) ( 3.524,98 KG/ ,2444 ADET | ALÜMİNYUM PROFİL (BOYASIZ) (554,64 M - 4/096,767 KG DİR ) | ALÜMİNYUM PROFİL (BOYASIZ) (650 METRE - /1.062,99 KG) | ALÜMİNYUM PROFİL (BOYASIZ) (933 ADET-143/0MT) | ALÜMİNYUM PROFİL (BOYASIZ) [3125.00 AD]/ | ALÜMİNYUM PROFİL (BOYASIZ)(242 MT)(340 A/D) | ALÜMİNYUM PROFİL (BOYASIZ)(5236 MT)(872 /AD) | ALÜMİNYUM PROFİL (EL-OKSALLI)(985 AD) | ALÜMİNYUM PROFİL (ELOKSALLI) (2261,41 KG/ - 10.172,27 MT) | ALÜMİNYUM PROFİL (ELOKSALLI) (6960 AD) (/1098,65 MT) | ALÜMİNYUM PROFİL (ELOKSALLI) [1037.40 MT/] | ALÜMİNYUM PROFİL (ELOKSALLI) [1381.70 MT/] | ALÜMİNYUM PROFİL (ELOKSALLI) [2923.25 MT/] | ALÜMİNYUM PROFİL (ELOKSALLI) [496.80 MT]/ | ALÜMİNYUM PROFİL (ELOKSALLI) [648.00 MT]/ | ALÜMİNYUM PROFİL (ELOKSALLI)( 210 KG, 12/96 METRE) | ALÜMİNYUM PROFİL (ELOKSALLI)(1.925 MT)(4/50 KG) | ALÜMİNYUM PROFİL (ELOKSALLI)(2.322 MT) (/1.310,02 KG) | ALÜMİNYUM PROFİL BOYASIZ [11200.00 AD] | ALÜMİNYUM PROFİL BRO-NZ | ALÜMİNYUM PROFİL ELO-KSALLI | ALÜMİNYUM PROFİL ELOKSALLI  5115 | ALÜMİNYUM PROFİL PRE-S | ALÜMİNYUM PROFİL(3910 ADET,6420 METRE),A/LÜMİNYUM PROFİL | ALÜMİNYUM }PROFİL | ALÜMİNYUM ÇUBUKLAR VE PROFİLLER (İZOLASY/ONSUZ) | ALÜMİNYUM ÇUBUKLAR VE PROFİLLER(İZOLASYO/NSUZ) | KESİLMİŞ ÖLÇÜLENDİRİLMİŞ ALÜMİNYUM PROFİ/L | PRES ALM. PROFİL 6060 ALAŞIM T66 L:6020M/M PAKETLENMİŞ MAMUL 8006753 (6.020MM) | İŞLENMİŞ ALÜMİNYUM PROFİL STANDART RENKL/İ BOYALI","twi@metallcenter.de, info@metallcenter.de",https://www.metallcenter.de/,"+49 5202 993980, 05202-99 39 8-0"
SL RACK GMBH,ALMANYA,1506,"$10,517,012",Profiller | İçi boş profiller,"11100-01 SL ALU - L | 11100-01 SL ALU L | 11100-02  SL ALU - XL | 11145-01 SL ALU - K | 21110-00 FLA HALTER -UNTEN | 21110-00 FLA HALTER UNTEN | 21112-20 FLA BODENSCHUH MİT BAUTENSCHUTZMATTE AKSK | 21113-10 HALTER OBEN- 10 | 86140-02 INNENVERBİNDER RAIL | 91112-00-02 MEKANİK İŞLEM GÖRMÜŞ ALÜMİNYUM PROFİL - PRES | 91121-01 MEKANİK İŞLEM GÖRMÜŞ ALÜMİNYUM PROFİL - PRES | 91202-00 KREUZVERBİNDER - CROSS - CONNEC/TOR - PRES | 91202-00 KREUZVERBİNDER - CROSS - CONNECTOR - PRES | 91310-00 ALÜMİNYUM A-KSESUAR | 91518-00 BLİTZSCHUTZKLEMME OBEN | ALUE2MİNY4BUM PROF21İL PRES 8A(İÇİ BO�2 � PROFİLLER) (BOYASIZ-BOYALI)(585 CM,540 CM,620 CM,360 CM,457 CM,179 CM+) | ALUMINYUM PROFİL | ALUMINYUM }PROFİL | ALUMİNYUM PROFİL PRES (İÇİ BOŞ PROFİLLER) (BOYASIZ)(540 CM, 585 CM) | ALUMİNYUM PROFİL PRES (İÇİ BOŞ PROFİLLER) (BOYASIZ)(540 CM, 585 CM, 360 CM.) | ALUMİNYUM PROFİL PRES (İÇİ BOŞ PROFİLLER/) (BOYASIZ)(355 CM,360 CM) | ALUMİNYUM PROFİL PRES (İÇİ BOŞ PROFİLLER/) (BOYASIZ)(470 CM,475 CM,360 CM,230 CM) | ALUMİNYUM PROFİL PRES (İÇİ BOŞ PROFİLLER/) (BOYASIZ)(475 CM) | ALUMİNYUM PROFİL PRES (İÇİ BOŞ PROFİLLER/) (BOYASIZ)(475 CM, 230 CM) | ALUMİNYUM PROFİL PRES (İÇİ BOŞ PROFİLLER/) (BOYASIZ)(475 CM, 360 CM) | ALUMİNYUM PROFİL PRES (İÇİ BOŞ PROFİLLER/) (BOYASIZ)(475 CM, 360 CM,230 CM) | ALUMİNYUM PROFİL PRES (İÇİ BOŞ PROFİLLER/) (BOYASIZ)(475 CM,360 CM) | ALUMİNYUM PROFİL PRES (İÇİ BOŞ PROFİLLER/) (BOYASIZ)(475 CM,360 CM,620 CM) | ALUMİNYUM PROFİL PRES (İÇİ BOŞ PROFİLLER/) (BOYASIZ-BOYALI)(585 CM,540 CM,575 CM,475 CM) | ALÜMİNYUM AŞIK PROFİ-L | ALÜMİNYUM BOYALI PRO-FİL | ALÜMİNYUM PRES PROFİ-L | ALÜMİNYUM PROFİL | ALÜMİNYUM PROFİL ELO-KSALLI | ALÜMİNYUM PROFİL PRES   İÇİ BOŞ PROFİLLE/R(BOYASIZ) 360 CM | ALÜMİNYUM PROFİL PRES   İÇİ BOŞ PROFİLLE/R(BOYASIZ) 453 CM | ALÜMİNYUM PROFİL PRES İÇİ BOŞ PROFİLLER /( BOYASIZ) 230 CM | ALÜMİNYUM PROFİL PRES İÇİ BOŞ PROFİLLER /( BOYASIZ) 230 CM. | ALÜMİNYUM PROFİL PRES İÇİ BOŞ PROFİLLER /( BOYASIZ) 360 CM. | ALÜMİNYUM PROFİL PRES İÇİ BOŞ PROFİLLER /( BOYASIZ) 585 CM. | ALÜMİNYUM PROFİL PRES İÇİ BOŞ PROFİLLER(/BOYASIZ) 360 CM -81140-3600 | ALÜMİNYUM PROFİL PRES İÇİ BOŞ PROFİLLER(/BOYASIZ) 475 CM -81140-4750 | ALÜMİNYUM PROFİL PRES İÇİ BOŞ PROFİLLER(/BOYASIZ) 585 CM | ALÜMİNYUM PROFİL PRES İÇİ BOŞ PROFİLLER(/BOYASIZ) 620 CM -81140-6200 | ALÜMİNYUM PROFİL PRES İÇİ BOŞ PROFİLLER(/BOYASIZ)100 CM. | ALÜMİNYUM PROFİL PRES İÇİ BOŞ PROFİLLER(/BOYASIZ)360 CM. | ALÜMİNYUM PROFİL PRES İÇİ BOŞ PROFİLLER(/BOYASIZ)360CM. | ALÜMİNYUM PROFİL SİYAH İÇİ BOŞ PROFİLLER/(BOYALI) 575 CM | ALÜMİNYUM PROFİL SİYAH İÇİ BOŞ PROFİLLER/(BOYASIZ) 475 CM | ALÜMİNYUM PROFİL,İŞLENMİŞ ALM. PROF./ | ALÜMİNYUM PROFİL-ELO-KSALLI | ALÜMİNYUM PROFİL-PRE-S | ALÜMİNYUM PROFİL-PRES | ALÜMİNYUM }PROFİL | AL�E2�MİN4BYUM PRO21FİL SİY8AAH İÇİ B2 OŞ PROFİLLER(BOYALI) 475 CM/ALM. PROFİL PRES İÇİ BOŞ PROFİLLER(BOYASIZ)3+60CM | İŞLENMİŞ ALÜMİNYUM  -PROFİL | İŞLENMİŞ ALÜMİNYUM P-ROFİL",info@sl-rack.com,https://www.sl-rack.com/,+49 8072 3767-0
ASG ALUMINIUM UND STAHL GMBH,ALMANYA,734,"$10,197,988",Profiller,"ALÜMİNYUM PROFİL (BOYALI, İZOLASYONSUZ)/ | ALÜMİNYUM PROFİL (BOYASIZ, İZOLASYONSUZ)/ | ALÜMİNYUM PROFİL(BOYASIZ/KAPLAMASIZ/İZOL/ASYONSUZ) | ALÜMİNYUM }PROFİL","usta@asg-aluminium.de, d.prill@asg-aluminium.de, f.peschen@asg-aluminium.de, a.gezer@asg-aluminium.de, m.matos@asg-aluminium.de, e.herten@asg-aluminium.de, g.muehlbrett@asg-aluminium.de, d.winkler@asg-aluminium.de, j.taxidis@asg-aluminium.de, info@asg-aluminium.de",https://www.asg-aluminium.de,"+49 (0) 2166 998839-0, +49 (0) 2166 998839-30, +49 (0) 2166 998839-36, +49 (0) 2166 998839-34, +49 (0) 2166 998839-33, +49 (0) 2166 998839-116, +49 (0) 2166 998839-32, +49 (0) 2166 998839-43, +49 (0) 2166 998839-111, +49 (0) 2166 998839-123"
ERD METAL CANADA INC,KANADA,247,"$10,124,756",Profiller | İçi boş profiller,ALÜMINYUM PROFIL (76-8 AD) | ALÜMİNYUM PROFİL ( 1-44 AD) | ALÜMİNYUM PROFİL ( 1-80 AD) | ALÜMİNYUM PROFİL ( 1-812 AD) | ALÜMİNYUM PROFİL ( 2-00 AD) | ALÜMİNYUM PROFİL ( 22860 AD) | ALÜMİNYUM PROFİL ( 4-68 AD) | ALÜMİNYUM PROFİL ( 5-60 AD) | ALÜMİNYUM PROFİL ( 5-76 AD) | ALÜMİNYUM PROFİL ( 6-02 AD) | ALÜMİNYUM PROFİL ( 6-30 AD) | ALÜMİNYUM PROFİL ( 8-88 AD) | ALÜMİNYUM PROFİL (1404 AD) | ALÜMİNYUM PROFİL (16-461 AD) | ALÜMİNYUM PROFİL (17-28 AD) | ALÜMİNYUM PROFİL (17-3 AD) | ALÜMİNYUM PROFİL (19-022 AD) | ALÜMİNYUM PROFİL (19-423 AD) | ALÜMİNYUM PROFİL (19-734 AD) | ALÜMİNYUM PROFİL (21-158 AD) | ALÜMİNYUM PROFİL (21-805 AD) | ALÜMİNYUM PROFİL (22-350 AD) | ALÜMİNYUM PROFİL (24031 AD) | ALÜMİNYUM PROFİL (243 AD) | ALÜMİNYUM PROFİL (25-361 AD) | ALÜMİNYUM PROFİL (27-825 AD) | ALÜMİNYUM PROFİL (29-649 AD) | ALÜMİNYUM PROFİL (33-227 AD) | ALÜMİNYUM PROFİL (744 AD) | ALÜMİNYUM PROFİL (88-8 AD) | ALÜMİNYUM PROFİL(944-3 AD),,https://erdmetalcanada.ca/,
SCHWENG GMBH,ALMANYA,138,"$10,023,135",İçi boş profiller,"0002*ALÜMİNYUM PROFİL BEYAZ BOYALI,0029*/ALÜMİNYUM PROFİL TİGER T29/80077DB703 | 0002*ALÜMİNYUM PROFİL BEYAZ BOYALI,0029*ALÜMİNYUM PROFİL TİGER T29/80077DB703 | 000E22*AL�4B�MİNYU21M PROFİL8A BEYAZ BOYA2 LI,0029*ALÜMİNYUM PROFİL TİGER T29/80077DB703,0001*ALÜMİNYUM PROFİL +PRES | 000E22*AL�4B�MİNYU21M PROFİL8A BEYAZ BOYA2 LI,0029*ALÜMİNYUM PROFİL TİGER T29/80077DB703,0031.1*ALÜMİNYUM PROFİ+L TİGER T29 RAL9006-92873 MAT | 000E22*AL�4B�MİNYU21M PROFİL8A BEYAZ BOYA2 LI,0029*ALÜMİNYUM PROFİL TİGER T29/80077DB703,0031.1*ALÜMİNYUM PROFİ+L TİGER T29 RAL9006-92873 MAT,0001*ALÜMİNYUM PROFİL PRES | 000E22*AL�4B�MİNYU21M PROFİL8A BEYAZ BOYA2 LI,0029*ALÜMİNYUM PROFİL TİGER T29/80077DB703,0031.1*ALÜMİNYUM PROFİ+L TİGER T29 RAL9006-92873 MAT,0005-2*ALÜMİNYUM PROFİL MAT NAT ELOKSAL E6 | 0019*ALÜMİNYUM PROFİL AHŞAP KAPLAMA,0002*ALÜMİNYUM PROFİL BEYAZ BOYALI,0029*ALÜMİNYUM PROFİL TİGER T+29/80077DB703,0031.1*ALÜMİNYUM PROFİL TİGER T29 RAL9006-92873 MAT | 0019*ALÜMİNYUM PROFİL AHŞAP KAPLAMA,0002*ALÜMİNYUM PROFİL BEYAZ BOYALI,0029*ALÜMİNYUM PROFİL TİGER T29/80077DB703,0001*ALÜMİNYUM PROFİL PRES | 0019*ALÜMİNYUM PROFİL AHŞAP KAPLAMA,0002*ALÜMİNYUM PROFİL BEYAZ BOYALI,0029*ALÜMİNYUM PROFİL TİGER T29/80077DB703,0031.1*ALÜMİNYUM PROFİL TİGER T29 RAL9006-92873 MAT | 001E21*AL�4B�MİNYU21M PROFİL8A AHŞAP BOY2 ALI,0002*ALÜMİNYUM PROFİL BEYAZ BOYALI,0029*ALÜMİNYUM PROFİL TİGER T29/80077DB703,0031.1*ALÜMİNYUM PROFİL TİGER T29 RAL9006-92873 MAT,0001*ALÜMİNYUM PROFİL PRES | 001E29*AL�4B�MİNYU21M PROFİL8A AHŞAP KAP2 LAMA,0002*ALÜMİNYUM PROFİL BEYAZ BOYALI,0029*ALÜMİNYUM PROFİL TİGER T+29/80077DB703,0031.1*ALÜMİNYUM PROFİL TİGER T29 RAL9006-92873 MAT | 0029*ALÜMİNYUM PROFİL TİGER T29/80077DB7/03 | 002E29*AL�4B�MİNYU21M PROFİL8A TİGER T292 /80077DB703,0031.1*ALÜMİNYUM PROFİL TİGER T29 RAL9006-92873 MAT+ | 002E29*AL�4B�MİNYU21M PROFİL8A TİGER T292 /80077DB703,0031.1*ALÜMİNYUM PROFİL TİGER T29 RAL9006-92873 MAT,0001*+ALÜMİNYUM PROFİL PRES",info@schweng.eu,https://schweng.eu/,"+496033927980, +4930403689500, +4953120979740, +4921154282930, +4976659685710, +4951369020880, +4962229483700, +4956187948040, +4926113494840, +4934205408770"
DELWO METALL GMBH,ALMANYA,190,"$10,012,584",Profiller,ALUMINYUM PROFILLER (BOYASIZ) | ALUMINYUM PROFILLER -(BOYASIZ),info@delwo.de,https://www.delwo.de/home.html,"+49 (0) 6821 904-0, +49 (0) 6821 904-250"
NAWAY SARDEM COMPANY,IRAK,185,"$9,959,412",Profiller | İçi boş profiller,ALUMİNYUM PROFİL (BO-YALI) | ALUMİNYUM PROFİL(BOY-ALI) | ALÜMİNYUM PROFİL (BO-YALI) | ALÜMİNYUM PROFİL (BOYALI) | ALÜMİNYUM PROFİL (BOYASIZ VE KAPLAMASIZ) | ALÜMİNYUM PROFİL (BOYASIZ VE KAPLAMASIZ)/ | ALÜMİNYUM PROFİL BEYAZ * ALÜMİNYUM PROFİ/L RENKLİ | ALÜMİNYUM PROFİL(BOYASIZ VE KAPLAMASIZ)/,"nawapvc.co@gmail.com, info@nawaysardem.com",https://www.nawaysardem.com/,"2545352419, 2230513954, 2735641289, 5242652961, 0021151325, 2155110757, 2371975422"
W. HARTMANN & CO.(GMBH & CO.KG),ALMANYA,780,"$9,478,230",Profiller,ALÜMİNYUM PROFİL | ALÜMİNYUM }PROFİL,info@w-hartmann.de,www.w-hartmann.de,"+49 40 713023, +49 40 71302457, +49 2043 40050"
PROF-MET -KOL SP Z.O.O.,POLONYA,158,"$9,219,621",Profiller,ALÜMİNYUM PROFİL PRE-S,,,
DURA AUTOMOTIVE STREKCHERS DOOEL ILINDEN,KUZEY MAKEDONYA CUMHURİYETİ,205,"$9,104,566",Profiller | İçi boş profiller,"ALUMINYUM }PROFIL | ALÜMİNYUM PROFİL (BOYASIZ, İZOLASYONSUZ) | ALÜMİNYUM PROFİL (BOYASIZ, İZOLASYONSUZ)/ | MEKANİK İŞ. ALÜMİNYU-M PROFİL | MEKANİK İŞ. ALÜMİNYUM PROFİL,PRES ALÜMİN/YUM PROFİL | MEKANİK İŞ. ALÜMİNYUM PROFİL,PRES ALÜMİNYUM PROFİL | PRES ALÜMİNYUM PROFİL,MEKANİK İŞ. ALÜMİN/YUM PROFİL | PRES ALÜMİNYUM PROFİL,MEKANİK İŞ. ALÜMİNYUM PROFİL",147industrialproducts@duraauto.comindustrial,www.duraauto.com,"+0211029084017, 2021102908, +38970814318"
