Buyer,Country,Invoices,USD,Email,Website,Phone,Address
LTD PROFILI,GÜRCİSTAN,24,"$1,418,853","[""contact@profili.ge""]","[""https://profili.ge/""]","[""+995 555 336 344"",""+995 593 720 404""]","[""თბილისი ელიავას ბაზრობა, სანაპიროდან 1 რიგი, მაღაზია 12; ელიავას ბაზრობა, სანაპიროდან მეორე რიგი, მაღაზია 45 და 46; ელიავას ბაზრობა, ყვითელი შენობა, მაღაზია 10 და 11"",""ბათუმი ა.პუშკინის ქუჩა N16""]"
MAQRO CONSTRUCTION LLC ID: 445433120,GÜRCİSTAN,61,"$1,381,146","[""info@maqro.ge""]","[""https://maqro.ge/"",""https://maqro.ge/contact-us""]","[""+995322000909"",""+995 32 2 00 09 09"",""02564102564""]","[""G. Panjikidze St., N20, Tbilisi - 0160, Georgia"",""22 Panjikidze (former Budapest) Str., Tbilisi - 0160, Georgia""]"
LTD SXIVI +,GÜRCİSTAN,89,"$1,204,903","[""ltdsxivi@gmail.com""]",,"[""3638106519"",""(032) 2 112 116"",""(514) 62 66 26"",""(577) 366 336""]","[""PR8G+3R5, N.Boxua str, Tbilisi, Georgia""]"
MELİSSA LTD,GÜRCİSTAN,58,"$984,578","[""besikkoridze@mail.ru""]","[""https://www.companyinfo.ge/en/corporations/250372""]","[""3638106519""]","[""Sakartvelo, Xelvachauris Raioni, Sopeli Sarpi, Kucha Me-5, N 11""]"
LLC KAPI,GÜRCİSTAN,75,"$980,767","[""support@kapi.ge""]","[""http://www.kapi.ge/""]","[""+995322051051"",""+995322622623""]","[""შ. დადიანის ქ. 7, თბილისი, Georgia""]"
NNG 2008,GÜRCİSTAN,94,"$773,678",,,"[""+011502003518"",""5683783918"",""3342256056"",""5714285714"",""2717130421"",""3101150200"",""+8616621075894"",""0241500000"",""0429900000"",""0140190019"",""2677098000"",""3024150000"",""3923509000"",""3014019001"",""2717142212"",""4267551542"",""2717150188"",""3198582672"",""2717157506""]",
ALUMET LLC,GÜRCİSTAN,115,"$720,922",info@alumet.ge; agobronidze@alumet.ge; purchase@alumet.ge,https://alumet.ge,995595333339; 995577141173,"29a Mitskevich str. 5th floor. Tbilisi, Georgia; G. Amilakhvari 9a str. Tbilisi, Georgia"
MAXIMA LTD.,GÜRCİSTAN,63,"$616,553","[""info@maxima.ge""]","[""https://maxima.ge/"",""https://maxima.ge/ka/contact""]","[""0422 22 11 22"",""+995 422 22 11 22"",""+995 574 08 34 08""]","[""ბათუმი, ბაგრატიონის ქუჩა #109, Batumi, Georgia"",""ბათუმი, ფრიდონ ხალვაშის #42ა, Batumi, Georgia"",""ბათუმი, ვ. შამილიძის ქუჩა #58, Batumi, Georgia"",""ბათუმი, ხახულის მეორე შესახვევი #71, Batumi, Georgia"",""ბათუმი, აეროპორტის გზატკეცილი #247ა, Batumi, Georgia""]"
BELUS LTD ŞTİ,GÜRCİSTAN,47,"$601,638",,"[""http://belusglass.ge/""]","[""+995555515501""]","[""6000, Autonomous Republic of Adjara, Batumi, Parnavaz Mepe str. 43/101, Apartm. 4""]"
ASEDL GEORGIA LTD,GÜRCİSTAN,46,"$586,289","[""info@bia.ge"",""sales@bia.ge""]","[""https://www.bia.ge/EN/Company/102126?VisitCompanyType=3&ServiceId=3171"",""https://www.findglocal.com/GE/Tbilisi/105797607525312/ASEDL-Georgia-•-ასედლ-ჯორჯია""]","[""+995322717120"",""+995322717150"",""+05646449730"",""5632056464"",""5345126152"",""5322717120"",""5322717150"",""+995574750073"",""+995574006783"",""+995574750082"",""+0579760752531"",""+0900189102106"",""+0155837239012"",""+032430851350"",""+0939743160621"",""+04618667893"",""0016000001"",""+05797607525"",""5574750082""]","[""0190, Tbilisi, Isani-Samgori District, Samgоri str. 6"",""გ. ნადარეიშვილის ქუჩა #50, Tbilisi""]"
LTD KINTRISHI,GÜRCİSTAN,130,"$563,453",,,"[""+995 593 17 31 33""]","[""6000, Autonomous Republic of Adjara, Batumi, Demetre Tavdadebuli str. 173, Georgia""]"
GLASSCO LTD,GÜRCİSTAN,21,"$527,803","[""info@glassco.ge"",""sale@glassco.ge""]","[""https://glassco.ge/""]","[""+995 032 290 70 50"",""+995 574 90 70 70""]","[""ხოშარაულის ქუჩა N29, Tbilisi, Georgia""]"
GALAVANİ LTD,GÜRCİSTAN,33,"$487,668","[""g.shakarashvili@gmail.com"",""restaurantgalavani@gmail.com""]","[""http://www.galavani.ge/""]","[""+995511211100"",""+995599267755"",""+995598522759"",""599267755""]","[""35 Vladimir Meskhishvili Street, Tbilisi, 0144, Georgia"",""C. Dadianis K., N 34, Korpusi N 3, Bina 32, Tbilisi, Georgia""]"
L.T.D. BATGLASS,GÜRCİSTAN,37,"$470,060","[""batglass@mail.ru""]","[""batglass.ge""]","[""+995 599 558601"",""+995 597 400626"",""574 54 44 77"",""(422) 400 111"",""(568) 11 11 77""]","[""13 Kindzmarauli St, Tbilisi, Georgia"",""170 Varshanidze St, Batumi, Georgia"",""M. Varshvanidze str. 170, Batumi, Autonomous Republic of Adjara, Georgia""]"
LTD METİ + GROUP,GÜRCİSTAN,16,"$464,495","[""ltdmetigeo@gmail.com""]","[""http://biz.aris.ge/en/"",""https://metigroup.co.za/contact/""]","[""557434848"",""3638106519""]","[""Sakartvelo, Tbilisi, Vake-saburtalos Raioni, Shalva Nucubizis Perdobi, I M/r, Korpusi N9, Bina N1"",""Rostevani Str 11, Tbilisi, Tb 0159, Georgia""]"
LG GROUP LTD (EUR),GÜRCİSTAN,242,"$453,030","[""info@lggroup.ge""]","[""https://lggroup.ge""]","[""+995322500080""]","[""Vani St. 4, Tsereteli avenue, Tbilisi"",""Sarajishvili St. 14, Avchala, Tbilisi""]"
NGC COMPANY LLC,GÜRCİSTAN,10,"$438,018","[""support@webador.com""]","[""https://www.ngccompanyllc.com/contact"",""https://www.georgiacompanyregistry.com/companies/ngc-company-llc/""]","[""2942675164"",""2942673168"",""2942668999"",""2942670665"",""2942668880"",""2938717851"",""2942671568"",""2942670703""]","[""180 SEARS CIR, COVINGTON, GA, 30016, USA""]"
REAL PALACE LTD.ŞTİ.,GÜRCİSTAN,13,"$389,488","[""info@realpalace.ge"",""sales@realpalace.ge""]","[""https://www.realpalace.ge"",""https://realpalace.ge""]","[""+995 577 22 47 47"",""+995 557 78 47 47"",""+995 514 65 47 47"",""+995 598 75 47 47"",""+995 558 80 47 47""]","[""Head Office, #16 Zhiuli Shartava Ave., Batumi, Georgia"",""#95 Angisa St., Batumi, Georgia"",""#11 Irakli Farjiani St., Tbilisi, Georgia"",""#17-23a Abraham Catholicos I st., Tbilisi, Georgia"",""#12a Baghi St., Mtsvane Kontskhi, Batumi, Georgia""]"
DELTAPRO LLC,GÜRCİSTAN,21,"$352,964","[""marketing@deltapro.am"",""deltapro@deltapro.am""]","[""http://www.deltapro.am""]","[""+37411555511"",""+37411222211"",""+995559055071""]","[""Arshakunyats Ave. 34, Yerevan, Armenia""]"
EUROFASAD PLUS LTD.,GÜRCİSTAN,14,"$347,703","[""info@eurofasad.ge""]","[""https://eurofasad.ge""]","[""+995599110146"",""+995598733909""]","[""TBILISI, VAJA-FSHAVELA AVE #52/3, 0177, Georgia""]"
LTD MARTVE-5,GÜRCİSTAN,64,"$346,633","[""info@aluminatech.com""]","[""www.aluminatech.com"",""https://www.aluminatech.com/""]","[""+995514300090"",""+995 514 30 00 90""]","[""32 Fridon Khalvashi Avenue, Batumi, Georgia""]"
IPS LLC,GÜRCİSTAN,24,"$334,063","[""info@ips.ge""]","[""https://ips.ge/en/""]","[""+995322252424""]","[""Tbilisi, Chavchavadze Ave. 49 d""]"
ORBI GROUP  TBILISI LLC TXID,GÜRCİSTAN,10,"$333,181","[""sales@orbi.net"",""kz@orbi.net"",""moscow@orbi.net"",""sales@orbi.ge"",""info@orbi.ge"",""batumi@orbi.ge"",""tbilisi@orbi.ge""]","[""https://www.orbigroup.info/index-en.html"",""https://www.orbi.ge/"",""https://orbigroup.ge""]","[""+995 555 31 00 00"",""+995 555 35 00 00"",""+995 555 33 00 00"",""+995 555 34 00 00"",""+49 1520 5455500"",""+90 5544555555"",""+7 495 150 5505"",""+994 123 100 914"",""+994 123 101 117"",""+7 727 355 2525""]","[""12a Kazbegi Ave., Tbilisi, Georgia"",""50 M. Abashidze St., Batumi, Georgia"",""46 Baku St., Batumi, Georgia""]"
LİKE HOUSE LTD.ŞTİ.,GÜRCİSTAN,19,"$326,334","[""info@likehouse.ge"",""Likehouse@info.ge""]","[""https://likehouse.ge/""]","[""+995593111111"",""995593111111""]","[""Georgia, Batumi st. Gorgiladze, 61""]"
ALUTECH WEST GEORGIA LLC,GÜRCİSTAN,14,"$317,740","[""info@alu.ge""]","[""https://alu.ge/english/contacts""]","[""599 25 63 63""]","[""Qiziki Str. N24, Tbilisi, Georgia""]"
"LTD ""GLASSLINE""",GÜRCİSTAN,16,"$307,233","[""ltdglassline@gmail.com"",""glasslinee@gmail.com""]","[""https://glassline.ge/""]","[""+99550088005"",""+995598555533""]","[""1 Gobronidze St., GLDANI, Tbilisi, Georgia""]"
SUPPLLING EVERYTHING JSC,GÜRCİSTAN,59,"$275,162","[""info@supplying.ge""]","[""https://supplying.ge""]","[""+995577124733"",""+995577124733""]","[""Georgia / Batumi""]"
HOUSE OF FUTURE LTD.,GÜRCİSTAN,13,"$265,742","[""houseoffuture@hotmail.com""]",,"[""+995 341 259892"",""(595) 10 10 42"",""238 13 27"",""200 03 60""]","[""14 Abashvili St., Tbilisi, Varketili"",""183 Nutsubidze St., Tbilisi, Saburtalo"",""Chachava str. 8, Tbilisi, Didube-Chugureti District"",""16 m/d, Rustavi, Kvemo Kartli Region""]"
LTD C.M.L,GÜRCİSTAN,17,"$261,307","[""cml_company@yahoo.com""]",,"[""283 83 84"",""(595) 78 77 11""]","[""თბილისი, სანზონა, გურამიშვილის გამზ. 64""]"
"L.T.D.  ""STEPLINE"" 202460862",GÜRCİSTAN,39,"$254,144","[""step line .info@gmail.com""]",,"[""+995595544882"",""+995595913913""]","[""106 Akaki Beliashvili St, Tbilisi, Georgia""]"
MEJIKTRANS LTD,GÜRCİSTAN,39,"$253,439","[""megictransltd@gmail.com""]","[""https://www.companyinfo.ge/en/corporations/747327""]","[""3638106519""]","[""Sakartvelo, Batumi, Davit Guramishvilis Shesaxvevi, N 18""]"
LTD GRAND MAISON,GÜRCİSTAN,6,"$248,482","[""hello@residence-estate.ge""]","[""https://residence-estate.ge/en/developers/grand-maison/"",""https://geoln.com/developers/grand-maison"",""https://welcomegeo.com/developers/grand-maison/?lng=en""]","[""+995599050123"",""5258849119"",""5302974222"",""5788238588"",""5599050123"",""2700144723"",""+9955587000"",""+19295667117"",""+18555888066"",""+995595088022""]",
ELT BUILDING LLC,GÜRCİSTAN,12,"$246,283","[""info@eltgroup.ge""]","[""https://eltgroup.ge/en/""]","[""+995514440000"",""+995558700088""]","[""რეჯებ ნიჟარაძის ქუჩა N18, ბათუმი"",""Pirosmani 18A, Office 13, Floor 2, Batumi, Georgia""]"
CAUCASUS UNIVERSITY,GÜRCİSTAN,15,"$240,912","[""info@cu.edu.ge"",""president@cu.edu.ge"",""info@caucasusuniversity.com""]","[""https://cu.edu.ge"",""https://caucasusuniversity.com""]","[""+995 32 2 37 77 77"",""+995 32 2 37 37 37"",""+995 555 405 843""]","[""Paata Saakadze street 1, Tbilisi 0102, Georgia"",""1 Paata Saakadze St, Tbilisi 0102, Georgia""]"
IC MAMUKA AREVADZE,GÜRCİSTAN,21,"$238,753",,"[""https://www.tendata.com/en/buyer/i-m-mamuka-arevadze-GEON48ea71a67b322e7a8e4b805b6ae12860.html"",""https://MadLoba.info/en/tbilisi/postavshchiki-dverey-i-okon/dveri-ot-postavshchika-mamuka-arevadze/"",""https://megobroba.ge/""]","[""+732690980019"",""+846290900019"",""+392530000019"",""+011502003518"",""5683783918"",""5714285714"",""2717351706"",""3101150200"",""+995322622122"",""+0197953826090"",""0869558980"",""5693152522"",""2718454408"",""5019795382"",""3997719310"",""+995551261177"",""5595261177"",""+995595261177"",""3221225472""]","[""David Sarajishvili Ave., 12, Tbilisi, Georgia""]"
LTD.HOUSE OF FUTURE,GÜRCİSTAN,6,"$231,682","[""houseoffuture@hotmail.com""]",,"[""+995595101042"",""(595) 10 10 42""]","[""14 Abashvili St., Tbilisi, Varketili district, Georgia""]"
FUTURE HOUSE LTD.,GÜRCİSTAN,2,"$226,658","[""futurehouse.ge@gmail.com""]","[""https://www.facebook.com/p/Future-House-100065027150978/"",""https://korter.ge/en/future-house""]","[""995341259892"",""597927920""]","[""თბილისი, ჩაჩავას ქ. #8"",""ვარკეთილი, აბაშვილის #14"",""საბურთალო, ნუცუბიძის #183""]"
DOMUS ALUMINUM LTD (EUR),GÜRCİSTAN,116,"$222,493","[""info@ec.ge""]","[""https://www.ec.ge/en/partners/domus-aluminiumi"",""https://domusaluminium.com""]","[""+995322232523"",""+0739449113956"",""3944911395"",""5554791957"",""+995322374737"",""5322374737"",""+995322232829"",""0461544148"",""+097639999488"",""+09763999949"",""3526704615"",""4452011886"",""5322232523"",""5322232829""]","[""თბილისი, 0160, ს. მგალობლიშვილის #13"",""Tbilisi, 3 Kavsadze St., 0179"",""com. space 12, fl. 4, bl. A, 3 Kavsadze str. Tbilisi, 0179 Georgia""]"
LTD LAZI,GÜRCİSTAN,2,"$217,550","[""info@lazi.ge""]","[""http://lazi.ge""]","[""995551140645"",""+995555555555"",""+995 555 88 22 33"",""+995 599 66 77 11""]","[""ул.эквтиме такаишвили № 64, апт № 5, Тбилиси, Грузия"",""კამანის ჩიხი 3, თბილისი, საქართველო"",""მცხეთის მუნიციპალიტეტი, სოფ.ქანდა""]"
UNIVERSAL CONSTRUCTION  LLC,GÜRCİSTAN,23,"$214,720","[""LarryHanes@UCCGI.com""]","[""https://www.uccgi.com/""]","[""4042448888""]","[""2434 Gresham Rd SE Ste H, Atlanta, Georgia, 30316, United States""]"
BAZALT TRANS LTD,GÜRCİSTAN,6,"$213,244","[""mskhvitaridze@remax-georgia.ge"",""info@transcaucasus.com.ge""]","[""http://www.transcaucasus.com.ge""]","[""+995577404422"",""+9950322333007""]","[""მარნეულის ქუჩა n 46"",""პეკინის გამზ. 5, მე–2 სად. მე–2 სართ""]"
L.T.B.  LTD. TBILISI,GÜRCİSTAN,15,"$211,621","[""ltb@ltb.ge"",""info@ltb.ge""]","[""https://ltb.ge/"",""https://5260-ge.all.biz/""]","[""+995 32 266 71 61"",""+995 32 266 71 62"",""+995 32 266 71 63"",""+995 595 47 07 71""]","[""2 Eristavi str., Tbilisi, Georgia"",""21 T. Eristavi St., Tbilisi, Georgia"",""1 Gugunava St., Kutaisi, Georgia""]"
NEXT POINT,GÜRCİSTAN,4,"$211,118","[""info@nextpoint.com"",""projects@nextpoint.com""]","[""https://www.nextpoint.com.tr/""]","[""05417811242""]","[""Elazığ""]"
ALUMET TXID LTD,GÜRCİSTAN,6,"$206,837","[""agobronidze@alumet.ge"",""info@alumet.ge"",""purchase@alumet.ge""]","[""www.alumet.ge"",""https://alumet.ge/""]","[""+995 595 33 33 39"",""+995 577 551 411"",""+995 577 141 173""]","[""29a Mitskevich str. 5th floor, Tbilisi, Georgia"",""G. Amilakhvari 9a str., Tbilisi, Georgia""]"
ALKOM LTD,GÜRCİSTAN,30,"$191,341",info@alcom.ge,https://alcom.ge,995322110072; 995599198382,"Georgia, Tbilisi, Petre Sarajishvili st. #13"
LTD.   DIO ',GÜRCİSTAN,60,"$190,905",info@dio.ge,https://dio.ge,995322361112; 995322331199,Tbilisi (Dighomi) 12 th km D. Agmashenebeli Alley №3 Parsadani. Str; Tbilisi (Saburtalo) 79 Tsintsadze Str.; Batumi 128/134 Vakhtang Gorgasali str.; Kutaisi 20 Ilia Chavchavadze str.; Telavi 52 al. Chavchavadze ave.
NOR LOGISTICS LLC,GÜRCİSTAN,17,"$180,122","[""atruck4nor@gmail.com""]","[""https://www.quicktransportsolutions.com/truckingcompany/georgia/nor-logistics-llc-usdot-3997922.php""]","[""+731815950012"",""+271019830000"",""+392330100019"",""7063134063"",""4755950574"",""2507357702"",""2334644101"",""8008325660"",""7032804001"",""4044932911""]","[""3316 Mundy Rd Augusta, GA 30906""]"
LTD REQTRANS,GÜRCİSTAN,67,"$173,965","[""reqtransltd@gmail.com""]","[""https://www.info-clipper.com/en/company/georgia/reqtrans-ltd.ged8drx0h.html""]","[""3638106519"",""+3864377558"",""2003864377""]","[""Sakartvelo, Batumi, Al.pushkinis K. N 35/18, B. 4""]"
STARPEN LLC,GÜRCİSTAN,46,"$171,647","[""starmarketgeorgia@gmail.com""]","[""https://starmarket.ge""]","[""+995579299979"",""+995598979725"",""+0396804356098"",""4503968043"",""5609820410"",""5579299979"",""5598979725""]","[""53 Tevdore Mghvdlis st. Tbilisi Georgia 0119""]"
LTD KAZBEGI,GÜRCİSTAN,104,"$166,870","[""export@gbbg.ge"",""topadze@kazbegi.com""]","[""https://kazbegi.com/en/"",""https://kazbegi.com/contact"",""https://kazbegi.com/index.php?sec_id=46""]","[""+0316059022164"",""+0586746564749"",""5714285714"",""5975238316"",""4031605902"",""+05867465647"",""2345518376"",""+995511147606"",""+995597191144"",""0923039907"",""+995511147606"",""+995597191144"",""0923039907"",""+0883378714837"",""5714285714"",""2329711245"",""4612054784"",""3792088337"",""5511147606"",""5597191144"",""+995322474747"",""+995322436436"",""+995341256134"",""+08903128233"",""+036466761902"",""+0316059022164"",""+0586746564749"",""5714285714"",""5880890312"",""4718644036""]","[""თბილისი,თ.ერისთავის ქუჩა N5""]"
LTD WINART GEORGIA,GÜRCİSTAN,5,"$166,121","[""info@winart.ge""]","[""http://winart.ge/""]","[""+995322366700""]","[""თბილისი, ვახტანგ VI ქუჩა (აღმაშენებლის ხეივანი მე-13კმ)"",""Tbilisi, Vakhtang VI Street (Aghmashenebeli Avenue 13km)""]"
LTD TMT,GÜRCİSTAN,16,"$160,786","[""info@enterprise.gov.ge"",""uchumbegashvili@yahoo.com"",""info@tiemti.ge""]","[""https://tradewithgeorgia.com/companies/tmt-ltd-1"",""https://tiemti.ge/""]","[""+995599504910"",""+995322960010"",""5599504910"",""5322960010"",""+07617457628"",""5838853932"",""0461544148"",""+0998100000000"",""+0000010000"",""3526704615"",""2998000000""]","[""Chavchavadze Str. 35, Kaspi 2600, Georgia""]"
"LTD ""SUN SOLUTION  '",GÜRCİSTAN,14,"$158,799","[""jtssltd@sunsolutions.com""]","[""https://madloba.info/en/tbilisi/postavshchiki-oborudovaniya-tekhniki-i-instrumentov/svarochnoe-oborudovanie-ot-proizvoditelia-sun-solution-georgia/"",""https://sun-solution-s-ltd.ueniweb.com/""]","[""+995555989813"",""+0197953826090"",""0869558980"",""5693152522"",""2718454408"",""5019795382"",""3997719310"",""+995551261177"",""5595261177"",""+995595261177"",""+12127363100"",""+06396469627"",""+0300191805030"",""2000000000"",""5000011112"",""5714285715"",""2857142857"",""3571428572"",""5714285714"",""2727675233""]","[""Tbilisi Airport named after Shota Rustaveli, Tbilisi, Georgia (cargo terminal)"",""Mujirishvili Str 10/58, Tbilisi, Georgia""]"
SMART DEVELOPMENT LİMİTED LİABİLİTYCOMPANY,GÜRCİSTAN,8,"$156,313","[""potiapartments@gmail.com""]","[""https://korter.ge/ltd-smart-development""]","[""+995322054262"",""+995322054272"",""0322121661""]","[""საქართველო, თბილისი, ვაკის რაიონი, გ. შატბერაშვილის ქუჩა, N4, კორპუსი 7, ბინა 102"",""გორგასლის 36, ფოთი, საქართველო""]"
GEOBARS LTD,GÜRCİSTAN,16,"$155,629","[""office@bars.ge""]","[""https://bars.ge"",""https://subcontracteu.com/en/companies/geobars-ltd/1697""]","[""+995 322 70 91 81"",""+995 577 41 76 00"",""+995 577 41 51 36""]","[""Main Office/Factory: 19g, G. Lortkipanidze Str. (former Kairo Str.), 0137 Tbilisi, Georgia"",""Batumi Sales Office: #85, Fridon Khalvashi Str., Batumi, Georgia""]"
LTD MILENIUMI,GÜRCİSTAN,2,"$147,837","[""info@millennium.org.ge"",""mcag2compact@gmail.com""]","[""https://millennium.org.ge/eng/contact_105"",""https://korter.ge/en/ltd-millenium""]","[""+995591238183"",""+995322054262"",""+995322054272""]","[""5 Kostava St. Georgia, Tbilisi, 0108""]"
LLC AIR MANAGAMENT SYSTEMS - AMS,GÜRCİSTAN,14,"$145,023","[""info@ams.com.ge"",""Andro.q@ams.com.ge""]","[""https://www.ams.com.ge"",""https://www.ams.com.ge/en""]","[""+995591450808"",""+995568607007""]","[""Tbilisi, Iason Lortkipanidze street, N 5""]"
LTD REEXPORTER,GÜRCİSTAN,5,"$144,086",,"[""https://www.trademo.com/companies/ltd-reexporter-446759570/47741740"",""https://www.volza.com/company-profile/ltd-reexporter-446759570-85427532/"",""https://www.tendata.com/en/buyer/ltd-reexporter-GEON6379327e642ed707bff0121aedc9cfaf.html""]","[""846729510000"",""392329900019"",""+85284320133"",""3101150200"",""5259236360"",""+8615618926470"",""011502003518"",""+862160898388"",""5284320133"",""853669900011""]",
LTD DLS CONSTRUCTION,GÜRCİSTAN,36,"$143,075",,"[""https://en.52wmb.com/buyer/177769625""]","[""0421000000"",""0959298463"",""3024110001"",""0429900000"",""4002700000"",""+8616621075894"",""0241100019"",""00270000000""]",
GUMBATI APARATI KVANATI LTD STI,GÜRCİSTAN,5,"$141,767","[""WELCOME@GUMBATI.GE"",""info@gumbatiholding.ge"",""welcome@gumbati.ge""]","[""https://www.gumbati.ge/en/contact-us"",""https://gumbatiholding.ge/en/page/contact""]","[""+995555100100"",""+995591077171"",""+995706706021""]","[""Vaja Pshavela 1B BATUMI · GEORGIA"",""Tarkhnishvili, I. st 2, 8th floor, Tbilisi, Georgia""]"
LTD QASHVETI,GÜRCİSTAN,4,"$137,626",,"[""https://www.companyinfo.ge/en/corporations/299845""]","[""3638106519"",""0959298463"",""0429900000"",""3925908000"",""3925901000"",""3926909790"",""2169900901""]",
LTD.N.A.E PLASTİK,GÜRCİSTAN,24,"$135,124","[""info@plastics.ge"",""plasticgeorgia2016@gmail.com""]","[""https://plastics.ge""]","[""+995 (32) 224 20 40"",""+995322242040"",""995322242040""]","[""Chantladze 3a, Tbilisi, Georgia"",""ჩანტლაძის 3ა, თბილისი, საქართველო""]"
SUNSOLITION COMPANY,GÜRCİSTAN,30,"$133,198","[""samxaradze.marina@mail.ru""]","[""http://www.sunsolution.com.ge/""]","[""+995577929933"",""+995577043399""]","[""2 Tsereteli Ave., Shopping centre \""Dinamo Arena\"", Shop 25, Tbilisi, Georgia""]"
LIZI LTD,GÜRCİSTAN,25,"$131,208",,"[""https://www.companyinfo.ge/en/corporations/299308"",""https://en.52wmb.com/buyer/33459361""]","[""+995322192121"",""5589948630""]","[""82, Paliashvili Str., Tbilisi, Georgia"",""gldani ii, 24-17, tbilisi, georgia""]"
NEXT GONIO + LLC 445612908,GÜRCİSTAN,9,"$128,762","[""info@nextgroup.ge""]","[""https://next-property.com/""]","[""+995514111111"",""+995574330033""]","[""Georgia Batumi, Kostava st. 20"",""Batumi, Luka Asatiani st. 18"",""Tbilisi, 37m Ilia Chavchavadze Avenue"",""Tbilisi, Tsurtsumia st. 12""]"
"LTD ,, LG GROUP",GÜRCİSTAN,64,"$126,612","[""info@lggroup.ge"",""lgglass77@gmail.com""]","[""https://lggroup.ge/"",""https://lggroup.ge/english/contacts""]","[""+995322500080"",""995322500080"",""4924708851""]","[""Vani St. 4, Tsereteli avenue, Tbilisi"",""Sarajishvili St. 14, Avchala, Tbilisi"",""D. Sarajishvili Ave. 14a, Gldani-Nadzaladevi District, Tbilisi"",""E. Andronikashvili str. 29, Gldani-Nadzaladevi District, Tbilisi""]"
OLİMPUS DEVELOPMENT LTD,GÜRCİSTAN,8,"$126,120",,"[""https://korter.ge/en/olympus""]","[""+995322054262"",""+995322054272""]",
LTD IBERIA,GÜRCİSTAN,4,"$124,919","[""ltd.iberia.group@gmail.com""]","[""https://www.info-clipper.com/en/company/georgia/iberia-ltd.gedbayem4.html"",""http://biz.aris.ge/en/company/1906/""]","[""+995 (593) 30-46-19"",""+995 322145353""]","[""99, Godziashvili Str., Tbilisi"",""D. Agmashenebeli Ave. 80, Tbilisi""]"
SPS PROFULI,GÜRCİSTAN,1,"$123,170","[""info@sps.ge"",""abcgeorgia@gmail.com""]","[""https://sps.ge""]","[""+995595790177""]","[""საქართველო, თბილისი, კახეთის გზატკეცილი 16-ე კმ., 16-th km, Kakheti Highway, Tbilisi, Georgia""]"
